sol-nsea in ICES area 27.4: mean weight of landings
1         3
1957      2018
1         15
1
0.136	0.182	0.214	0.256	0.273	0.317	0.34	0.344	0.503	0.388	0.316	0.498	0.404	0.577	0.625
0.127	0.18	0.209	0.252	0.263	0.284	0.378	0.367	0.327	0.348	0.397	0.387	0.56	0.493	0.474
0.172	0.185	0.207	0.243	0.241	0.282	0.265	0.377	0.318	0.321	0.525	0.578	0.433	0.346	0.512
0.156	0.19	0.22	0.263	0.291	0.322	0.293	0.358	0.397	0.464	0.251	0.45	0.637	0.814	0.359
0.154	0.18	0.205	0.237	0.253	0.273	0.295	0.299	0.281	0.351	0.41	0.23	0.457	0.254	0.282
0.15	0.181	0.223	0.24	0.265	0.324	0.314	0.297	0.307	0.307	0.47	0.483	0.695	0.557	0.49
0.138	0.185	0.202	0.256	0.275	0.278	0.325	0.334	0.303	0.358	0.453	0.446	0.509	0.342	0.453
0.163	0.181	0.22	0.236	0.273	0.308	0.283	0.311	0.361	0.423	0.319	0.307	0.474	0.691	0.395
0.152	0.162	0.194	0.233	0.242	0.274	0.272	0.293	0.335	0.344	0.379	0.279	0.401	0.48	0.455
0.095	0.169	0.185	0.233	0.256	0.234	0.270	0.260	0.283	0.269	0.363	0.294	0.450	0.370	0.399
0.125	0.169	0.185	0.224	0.253	0.266	0.297	0.278	0.309	0.466	0.363	0.294	0.441	0.35	0.386
0.155	0.191	0.212	0.228	0.263	0.273	0.249	0.279	0.319	0.351	0.347	0.309	0.498	0.26	0.322
0.145	0.169	0.205	0.240	0.263	0.274	0.304	0.293	0.330	0.330	0.141	0.141	0.141	0.346	0.546
0.143 0.175 0.200 0.236 0.265 0.275 0.273 0.294 0.325 0.397 0.252 0.251 0.627 0.520 0.493
0.109	0.168	0.190	0.226	0.276	0.274	0.313	0.309	0.280	0.311	0.471	0.334	0.456	0.736	0.362
0.123 0.166 0.199 0.235 0.257 0.265 0.243 0.258 0.268 0.286 0.321 0.172 0.522 0.245 0.486
