"slot","age","year","unit","season","area","iter","data","units"
"index","5",1986,"unique","all","unique","1",16.7,"numbers/100h"
"index","6",1986,"unique","all","unique","1",0,"numbers/100h"
"index","1",1987,"unique","all","unique","1",1947.9,"numbers/100h"
"index","2",1987,"unique","all","unique","1",943.7,"numbers/100h"
"index","3",1987,"unique","all","unique","1",64.8,"numbers/100h"
"index","4",1987,"unique","all","unique","1",21.3,"numbers/100h"
"index","5",1987,"unique","all","unique","1",0,"numbers/100h"
"index","6",1987,"unique","all","unique","1",0,"numbers/100h"
"index","1",1988,"unique","all","unique","1",11226.7,"numbers/100h"
"index","2",1988,"unique","all","unique","1",593.8,"numbers/100h"
"index","3",1988,"unique","all","unique","1",281.6,"numbers/100h"
"index","4",1988,"unique","all","unique","1",81.5,"numbers/100h"
"index","5",1988,"unique","all","unique","1",10.2,"numbers/100h"
"index","6",1988,"unique","all","unique","1",15.5,"numbers/100h"
"index","1",1989,"unique","all","unique","1",2830.7,"numbers/100h"
"index","2",1989,"unique","all","unique","1",5005,"numbers/100h"
"index","3",1989,"unique","all","unique","1",207.6,"numbers/100h"
"index","4",1989,"unique","all","unique","1",53.1,"numbers/100h"
"index","5",1989,"unique","all","unique","1",18.2,"numbers/100h"
"index","6",1989,"unique","all","unique","1",18.6,"numbers/100h"
"index","1",1990,"unique","all","unique","1",2856.2,"numbers/100h"
"index","2",1990,"unique","all","unique","1",1119.5,"numbers/100h"
"index","3",1990,"unique","all","unique","1",914.3,"numbers/100h"
"index","4",1990,"unique","all","unique","1",100.4,"numbers/100h"
"index","5",1990,"unique","all","unique","1",49.6,"numbers/100h"
"index","6",1990,"unique","all","unique","1",12.5,"numbers/100h"
"index","1",1991,"unique","all","unique","1",1253.6,"numbers/100h"
"index","2",1991,"unique","all","unique","1",2529.1,"numbers/100h"
"index","3",1991,"unique","all","unique","1",513.8,"numbers/100h"
"index","4",1991,"unique","all","unique","1",623.9,"numbers/100h"
"index","5",1991,"unique","all","unique","1",27.2,"numbers/100h"
"index","6",1991,"unique","all","unique","1",35.8,"numbers/100h"
"index","1",1992,"unique","all","unique","1",11114,"numbers/100h"
"index","2",1992,"unique","all","unique","1",144.4,"numbers/100h"
"index","3",1992,"unique","all","unique","1",360.4,"numbers/100h"
"index","4",1992,"unique","all","unique","1",194.9,"numbers/100h"
"index","5",1992,"unique","all","unique","1",284.8,"numbers/100h"
"index","6",1992,"unique","all","unique","1",20,"numbers/100h"
"index","1",1993,"unique","all","unique","1",1290.8,"numbers/100h"
"index","2",1993,"unique","all","unique","1",3419.6,"numbers/100h"
"index","3",1993,"unique","all","unique","1",153.8,"numbers/100h"
"index","4",1993,"unique","all","unique","1",212.8,"numbers/100h"
"index","5",1993,"unique","all","unique","1",0,"numbers/100h"
"index","6",1993,"unique","all","unique","1",191.7,"numbers/100h"
"index","1",1994,"unique","all","unique","1",651.8,"numbers/100h"
"index","2",1994,"unique","all","unique","1",498.3,"numbers/100h"
"index","3",1994,"unique","all","unique","1",934.1,"numbers/100h"
