"slot","age","year","unit","season","area","iter","data","units"
"catch.n","4",1960,"unique","all","unique","1",16691,"thousands"
"catch.n","5",1960,"unique","all","unique","1",9248,"thousands"
"catch.n","6",1960,"unique","all","unique","1",8313,"thousands"
"catch.n","7",1960,"unique","all","unique","1",4815,"thousands"
"catch.n","8",1960,"unique","all","unique","1",1583,"thousands"
"catch.n","9",1960,"unique","all","unique","1",1049,"thousands"
"catch.n","10",1960,"unique","all","unique","1",7851,"thousands"
"catch.n","1",1961,"unique","all","unique","1",0,"thousands"
"catch.n","2",1961,"unique","all","unique","1",972,"thousands"
"catch.n","3",1961,"unique","all","unique","1",50470,"thousands"
"catch.n","4",1961,"unique","all","unique","1",19403,"thousands"
"catch.n","5",1961,"unique","all","unique","1",12574,"thousands"
"catch.n","6",1961,"unique","all","unique","1",4760,"thousands"
"catch.n","7",1961,"unique","all","unique","1",3998,"thousands"
"catch.n","8",1961,"unique","all","unique","1",4338,"thousands"
"catch.n","9",1961,"unique","all","unique","1",847,"thousands"
"catch.n","10",1961,"unique","all","unique","1",7355,"thousands"
"catch.n","1",1962,"unique","all","unique","1",0,"thousands"
"catch.n","2",1962,"unique","all","unique","1",1584,"thousands"
"catch.n","3",1962,"unique","all","unique","1",6173,"thousands"
"catch.n","4",1962,"unique","all","unique","1",58836,"thousands"
"catch.n","5",1962,"unique","all","unique","1",15254,"thousands"
"catch.n","6",1962,"unique","all","unique","1",10478,"thousands"
"catch.n","7",1962,"unique","all","unique","1",4797,"thousands"
"catch.n","8",1962,"unique","all","unique","1",4087,"thousands"
"catch.n","9",1962,"unique","all","unique","1",2074,"thousands"
"catch.n","10",1962,"unique","all","unique","1",7450,"thousands"
"catch.n","1",1963,"unique","all","unique","1",0,"thousands"
"catch.n","2",1963,"unique","all","unique","1",670,"thousands"
"catch.n","3",1963,"unique","all","unique","1",8271,"thousands"
"catch.n","4",1963,"unique","all","unique","1",8485,"thousands"
"catch.n","5",1963,"unique","all","unique","1",45823,"thousands"
"catch.n","6",1963,"unique","all","unique","1",8420,"thousands"
"catch.n","7",1963,"unique","all","unique","1",6603,"thousands"
"catch.n","8",1963,"unique","all","unique","1",2403,"thousands"
"catch.n","9",1963,"unique","all","unique","1",3365,"thousands"
"catch.n","10",1963,"unique","all","unique","1",8316,"thousands"
"catch.n","1",1964,"unique","all","unique","1",53,"thousands"
"catch.n","2",1964,"unique","all","unique","1",150,"thousands"
"catch.n","3",1964,"unique","all","unique","1",2041,"thousands"
"catch.n","4",1964,"unique","all","unique","1",5518,"thousands"
"catch.n","5",1964,"unique","all","unique","1",3680,"thousands"
"catch.n","6",1964,"unique","all","unique","1",16749,"thousands"
"catch.n","7",1964,"unique","all","unique","1",3020,"thousands"
"catch.n","8",1964,"unique","all","unique","1",1749,"thousands"
"catch.n","9",1964,"unique","all","unique","1",790,"thousands"
"catch.n","10",1964,"unique","all","unique","1",2913,"thousands"
"catch.n","1",1965,"unique","all","unique","1",0,"thousands"
"catch.n","2",1965,"unique","all","unique","1",45180,"thousands"
"catch.n","3",1965,"unique","all","unique","1",1045,"thousands"
"catch.n","4",1965,"unique","all","unique","1",1534,"thousands"
